1.8235 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
44.2782 	EXP 	target: autoDraw = True
45.3813 	DATA 	Keypress: right
45.3973 	EXP 	New trial (rep=3, index=1): {'word': 'blue ', 'color': 'red', 'congruent': 0, 'corrAns': 'left'}
45.4124 	EXP 	target: autoDraw = False
45.4124 	EXP 	target: height = 0.05
45.4124 	EXP 	target: height = 0.05
45.4124 	EXP 	target: height = 0.05
45.4124 	EXP 	target: text = 'blue '
45.8964 	EXP 	target: autoDraw = True
47.8330 	EXP 	New trial (rep=3, index=2): {'word': 'blue', 'color': 'blue', 'congruent': 1, 'corrAns': 'right'}
47.8355 	DATA 	Keypress: down
47.8484 	EXP 	target: autoDraw = False
47.8484 	EXP 	target: height = 0.05
47.8484 	EXP 	target: height = 0.05
47.8484 	EXP 	target: height = 0.05
47.8484 	EXP 	target: text = 'blue'
48.3322 	EXP 	target: autoDraw = True
50.6030 	EXP 	New trial (rep=3, index=3): {'word': 'red', 'color': 'red', 'congruent': 1, 'corrAns': 'left'}
50.6064 	DATA 	Keypress: right
50.6178 	EXP 	target: autoDraw = False
50.6178 	EXP 	target: height = 0.05
50.6178 	EXP 	target: height = 0.05
50.6178 	EXP 	target: height = 0.05
50.6178 	EXP 	target: text = 'red'
51.1016 	EXP 	target: autoDraw = True
52.7714 	EXP 	New trial (rep=3, index=4): {'word': 'red', 'color': 'green', 'congruent': 0, 'corrAns': 'down'}
52.7726 	DATA 	Keypress: left
52.7865 	EXP 	target: autoDraw = False
52.7865 	EXP 	target: text = 'red'
53.2702 	EXP 	target: autoDraw = True
54.0725 	EXP 	New trial (rep=3, index=5): {'word': 'green', 'color': 'green', 'congruent': 1, 'corrAns': 'down'}
54.0752 	DATA 	Keypress: down
54.0880 	EXP 	target: autoDraw = False
54.0880 	EXP 	target: height = 0.05
54.0880 	EXP 	target: height = 0.05
54.0880 	EXP 	target: height = 0.05
54.0880 	EXP 	target: text = 'green'
